"","pm","pb","pp","Um","Ub","Up","wm","wb","wp","Am","Ab","Ap","PB","PP","v","up","dw","delta_t","S0","s1up","s1down","q","Vn"
"1",0.69,0.786420858600177,0.551353701213375,0.53,0.564152613319457,0.505448166467249,0.89,0.752770395330153,0.921561126303859,6.84615384615385,5.79054150253964,7.08893174079892,8.97445351665518,5.18011984492825,0.840888458991596,1.31981713309496,0.757680723279449,4.19624418392777,187589100,247583308.161864,142132644.967341,-0.199204916257065,100283709.497932
"2",0.69,0.741737962584011,0.613165861563757,0.53,0.564373722039163,0.502132453359663,0.89,0.825160662885755,0.905891257496551,6.84615384615385,6.34738971450581,6.96839428843501,8.25789758200519,6.18173918041025,0.460653286355881,1.16417837942571,0.858974893944774,6.76740244217217,187589100,218387174.435928,161134327.277696,0.628477018641354,145366979.620302
"3",0.69,0.758029495251831,0.575761883668601,0.53,0.534152265768498,0.471134213395417,0.89,0.799818609629292,1.00705878007691,6.84615384615385,6.15245084330225,7.74660600059164,7.86550681602765,5.07988895990304,0.646013538010673,1.23761292960493,0.808007072388308,8.91776980645955,187589100,232162695.612953,151573319.502958,0.596248540729181,133638587.592316
"4",0.69,0.806916959206574,0.645021979287267,0.53,0.558445495311171,0.482467997763306,0.89,0.845997037084308,1.00736027313862,6.84615384615385,6.50766951603313,7.74892517798938,9.17352832443438,6.58673855675945,0.599317538497292,1.21868789941324,0.820554631322317,3.91671304963529,187589100,228612566.23182,153927104.790585,-0.0651771819618938,124972315.823204
"5",0.69,0.836446591317654,0.561179548883811,0.53,0.572847763020545,0.457447050362825,0.89,0.765470456224866,1.01597654310986,6.84615384615385,5.88823427865282,7.81520417776818,9.99003855952347,5.47833664596009,0.950083823682537,1.36824331033199,0.730864161694578,5.38110085576773,187589100,256667531.166198,137102150.31454,-0.147884696556796,93737594.6046997
"6",0.69,0.832071828886401,0.654530515996739,0.53,0.606372291706502,0.504835560750216,0.89,0.815075484451372,0.928567740749568,6.84615384615385,6.26981141885671,7.14282877499667,10.7164591735698,7.63621081314542,0.709412722519568,1.26377869639678,0.791277778974394,3.83123155869544,187589100,237071108.256245,148435086.407806,-0.160040444917285,112989665.855852
"7",0.69,0.692742442130111,0.635792912505567,0.53,0.549990437738597,0.462894662134349,0.89,0.742556397521403,0.95805404832121,6.84615384615385,5.71197228862617,7.36964652554777,7.18164040900149,6.28546661464571,-0.0691251259086158,0.977446918863669,1.02307345872301,2.82320137508214,187589100,183358387.807409,191917429.355736,-3.46333798517438,195127003.955243
"8",0.69,0.842293930875603,0.560865612989291,0.53,0.604914603140205,0.469669311381877,0.89,0.810971219206694,0.916818521968089,6.84615384615385,6.2382401477438,7.0524501689853,10.8586774885896,5.98778185978153,0.998388640344449,1.39022867960664,0.719306121841008,6.66577575914562,187589100,260791746.801599,134933988.020645,-0.0602513471180066,94347641.0275683
"9",0.69,0.777299906080589,0.583486809590831,0.53,0.561986604444683,0.490422847699374,0.89,0.74478322339477,0.906025462322868,6.84615384615385,5.72910171842131,6.96942663325283,8.7790556468474,5.66263520728706,0.716774668346538,1.26685270614827,0.789357748652874,5.75148380734026,187589100,237647758.978919,148074909.647819,0.0597780619898059,118442044.084221
"10",0.69,0.765427480146755,0.656723838821053,0.53,0.590889739468694,0.495868515912443,0.89,0.80712620689068,0.901732281129807,6.84615384615385,6.20866312992831,6.93640216253698,9.221141512238,7.38334466987772,0.383752525461977,1.13500644962074,0.881052262155999,3.75310837849975,187589100,212914838.37855,165275800.910808,0.19288241768462,147353078.043576
"11",0.69,0.704358355449513,0.596885356875136,0.53,0.581308526135981,0.492059145402163,0.89,0.745892208206933,0.966420377567411,6.84615384615385,5.73763237082256,7.4340029043647,7.99558646487748,6.20805778263952,0.366264277082153,1.12847505383716,0.886151622581018,4.98210477828979,187589100,211689619.721764,166232385.343513,0.506924117881889,151261518.809402
"12",0.69,0.872647458761931,0.541468313811347,0.53,0.546636134665459,0.518910595178604,0.89,0.809658797397278,0.921201440682635,6.84615384615385,6.22814459536368,7.08616492832796,9.92892565194662,4.74918187419824,1.03715549471371,1.40812821200882,0.710162605558064,6.98839681223035,187589100,264149503.975343,133218764.030292,-0.0552809276871964,91987397.9156283
"13",0.69,0.72869306311477,0.493934682719409,0.53,0.593839440476149,0.471945511735976,0.89,0.764991365603637,0.913821240547113,6.84615384615385,5.88454896618182,7.02939415805472,8.66159073752589,4.67283811208441,0.872398546399408,1.33361262639434,0.749842930554486,5.9080474935472,187589100,250171192.333951,140662360.484079,-0.0497755021063216,103645674.58615
"14",0.69,0.825167724683415,0.608386984290555,0.53,0.571372550148517,0.480530214868486,0.89,0.86521674943855,0.924861127091572,6.84615384615385,6.65551345721962,7.11431636224286,9.77034562768232,6.22640018504811,0.797839683372918,1.3012002340807,0.768521226640034,6.32480822317302,187589100,244090980.830988,144166205.2363,0.0526616497708781,112415411.045073
"15",0.69,0.831329486686736,0.496002371013165,0.53,0.557547480389476,0.454905804246664,0.89,0.795346971331164,0.947063098456711,6.84615384615385,6.11805362562434,7.28510075735931,9.54223635998611,4.19292975503798,1.05746743872437,1.4175985170641,0.705418345153912,9.31469404324889,187589100,265926029.97739,132328792.490912,0.144748485163,99735802.3290832
"16",0.69,0.858853997122496,0.686746435249224,0.53,0.568175622299314,0.50548065867275,0.89,0.803861969346181,0.999783314592205,6.84615384615385,6.18355361035524,7.6906408814785,10.2424913923141,7.44460865543012,0.648783858148437,1.23874487967081,0.807268725313114,8.74156789854169,187589100,232375037.107055,151434813.639634,0.563698727165122,132972364.601766
"17",0.69,0.724859707837459,0.595707920249552,0.53,0.58623580403626,0.523061820808798,0.89,0.778876087742392,1.00096746779513,6.84615384615385,5.99135452109532,7.6997497522702,8.43876206340327,6.27245647082617,0.487455576592537,1.17452092409028,0.851410970625783,6.91575641185045,187589100,220327323.081265,159715417.709817,0.58974853114385,143187198.569996
"18",0.69,0.823117900379002,0.511586646791548,0.53,0.556709263455123,0.475930528659374,0.89,0.824813863423187,0.918444946785457,6.84615384615385,6.34472202633221,7.0649611291189,9.39150017871835,4.42926857195864,1.01010344933155,1.39561354847929,0.716530733804952,3.75763605907559,187589100,261801889.507037,134413355.476811,-0.311276532585693,80018420.3466284
"19",0.69,0.810291903058533,0.560504102064297,0.53,0.598549858722836,0.526057725399733,0.89,0.873204726630356,0.896560228755698,6.84615384615385,6.71695943561812,6.8966171442746,10.1572335962107,5.87945288962825,0.916511504110222,1.35316838749538,0.739006327106804,8.15232411026955,187589100,253839639.95871,138629531.796271,0.146573129345921,107758818.178986
"20",0.69,0.733742830303963,0.553036823552102,0.53,0.552613566871732,0.507055652104318,0.89,0.869320687509608,0.904885292891413,6.84615384615385,6.68708221161237,6.96065609916471,7.88190345352261,5.0247004905297,0.662013620212015,1.24416484135963,0.803752016418655,6.4026220459491,187589100,233391762.842296,150775117.383161,0.203785720460461,125653620.681533
"21",0.69,0.813190207732841,0.53695733981207,0.53,0.536103777177632,0.523847603406757,0.89,0.762082503885031,1.00513465249445,6.84615384615385,5.86217310680793,7.7318050191881,8.75394030835932,4.51681625271055,0.910489686416686,1.35048204153095,0.740476340482371,5.30814713798463,187589100,253335710.736954,138905290.282382,-0.132249389987601,97472865.145023
"22",0.69,0.806378915808164,0.50362410034053,0.53,0.602330575846136,0.52036345589906,0.89,0.769567530879285,0.899724359503016,6.84615384615385,5.91975023753296,6.92095661156166,10.1774499932177,4.9598241897486,1.0417504800685,1.41026504009276,0.709086569950159,3.25871658697724,187589100,264550349.632465,133016911.479037,-0.359859035855878,73996444.1016507
"23",0.69,0.753356788211968,0.526012354725972,0.53,0.5417186149396,0.473246035072953,0.89,0.880410333208274,0.904344465709291,6.84615384615385,6.77238717852519,6.95649589007147,7.95718579238727,4.43343615276378,0.794235913917261,1.29965370939295,0.769435729512197,7.78681505843997,187589100,243800869.656686,144337756.007037,0.226305150228649,117527126.876367
"24",0.69,0.788116283845156,0.572379895634949,0.53,0.563061222396791,0.510963552668691,0.89,0.778876482110936,0.996846569241025,6.84615384615385,5.99135755469951,7.66805053262327,8.97720986356852,5.50164032238719,0.78555448445715,1.29593569659056,0.771643224760972,9.85923850908875,187589100,243103410.981297,144751858.054008,0.500624729629149,124478887.570756
"25",0.69,0.817322615953162,0.607985578486696,0.53,0.575047907214612,0.510943744350225,0.89,0.85179461007705,0.989095816696063,6.84615384615385,6.55226623136192,7.60842935920048,9.72804212610182,6.28377314008227,0.779849801163181,1.29349833363664,0.773097246432877,9.89446595311165,187589100,242646188.258397,145024616.670822,0.513802816424449,125046525.21007
"26",0.69,0.775809872355312,0.513643481591716,0.53,0.549090825505555,0.487641820944846,0.89,0.792848460630048,0.93740053428337,6.84615384615385,6.09883431253883,7.21077334064131,8.46884376364746,4.3500678664689,0.892626052394831,1.34254437020975,0.74485433940911,3.01841012947261,187589100,251846690.117713,139726555.160849,-0.329700989906847,89709076.9416753
"27",0.69,0.770574032657314,0.584662167970091,0.53,0.572217760588974,0.500156288743019,0.89,0.871403913744725,0.985081985122524,6.84615384615385,6.70310702880558,7.57755373171172,8.89647931229932,5.85268430525686,0.7019055420827,1.26065172447554,0.793240496629647,7.79251208528876,187589100,236484522.407815,148803270.846309,0.340935413223102,125842120.862832
"28",0.69,0.724551067319699,0.505571103710681,0.53,0.535775792282075,0.454325007554144,0.89,0.817591010800097,1.00396721962374,6.84615384615385,6.28916162153921,7.72282476633644,7.38750896614088,4.03063971074853,0.76364197026907,1.28659841773261,0.777243300020773,5.59238721989095,187589100,241351839.243885,145802371.131927,-0.000869846434155046,113298332.876152
"29",0.69,0.796190028681885,0.545976021336392,0.53,0.601207522992045,0.507267942260951,0.89,0.773463258843403,0.965025299801491,6.84615384615385,5.94971737571849,7.42327153693455,9.97627268667612,5.6721664246202,0.920380235813758,1.35489705573544,0.738063453431301,7.30023277550936,187589100,254163919.278061,138452658.97207,0.055121402193427,104277526.435785
"30",0.69,0.851133401361294,0.51983662057668,0.53,0.583607951886952,0.510930854361504,0.89,0.889795167974662,0.926861618263647,6.84615384615385,6.84457821518971,7.12970475587421,10.4927975105755,4.96075668310325,1.0786486377197,1.42754195184293,0.700504807378177,9.08148825354874,187589100,267791309.958459,131407066.361746,0.106278669332071,96956927.8350309
"31",0.69,0.825534983633552,0.624124405356124,0.53,0.589655166137964,0.483078619576991,0.89,0.747298040250316,0.997055873670615,6.84615384615385,5.74844646346397,7.66966056669704,10.2081875246378,6.81015646413357,0.771327137812889,1.28986550787642,0.775274626613094,8.78451673313975,187589100,241964709.74358,145433069.459186,0.378881364497973,122577378.773001
"32",0.69,0.791110920137726,0.664066049978137,0.53,0.539896413572133,0.45801963083446,0.89,0.843046674188226,1.01187326001469,6.84615384615385,6.48497441683251,7.78364046165146,8.50111415149338,6.53859214054361,0.42515845736659,1.15062156875595,0.869095476005368,8.1652175411582,187589100,215844064.523518,163032838.157919,1.04219135778755,151016877.67748
"33",0.69,0.751042380102444,0.535880871685222,0.53,0.56008738046512,0.514303455911577,0.89,0.863349972232245,0.944363538380712,6.84615384615385,6.64115363255573,7.26433491062086,8.31603541182351,4.8680348501529,0.780532615350174,1.29378982875082,0.772923065074272,6.24596633389592,187589100,242700869.56452,144991942.146524,0.0590448185098233,113821143.34341
"34",0.69,0.776609779950231,0.660162461185828,0.53,0.547401657532901,0.511673748977482,0.89,0.781345904604532,1.01535032704473,6.84615384615385,6.01035311234255,7.81038713111327,8.4438769346875,6.62005446730172,0.378939326569469,1.13320508671244,0.882452798461326,6.18911295942962,187589100,212576922.331808,165538526.255841,0.749563808223472,151985237.726205
"35",0.69,0.847543675361667,0.637087963623926,0.53,0.555210266839713,0.493865253999829,0.89,0.827057942186948,0.897565812473185,6.84615384615385,6.36198417066883,6.90435240363989,9.7442161663172,6.40099455581068,0.761073052999213,1.2855081755051,0.777902481722513,5.89871839992702,187589100,241147321.685645,145926026.434093,0.0364445711342694,114567062.554723
"36",0.69,0.824786134448368,0.513186037736014,0.53,0.601663340441883,0.508686522115022,0.89,0.850100343439262,0.915220599444583,6.84615384615385,6.53923341107125,7.04015845726602,10.4789310210311,5.11481584279191,1.05921068115931,1.4184142535799,0.705012655841638,9.0009015891701,187589100,266079053.256225,132252689.597943,0.113469155294629,98333640.060895
"37",0.69,0.803662942980882,0.533542491551489,0.53,0.54151812158525,0.51534886257723,0.89,0.793690345515497,0.951703075882979,6.84615384615385,6.10531035011921,7.32079289140753,8.73230126817917,4.54708965694938,0.902716180566619,1.34702214776992,0.742378290999565,2.90973645634949,187589100,252686672.380227,139262075.468147,-0.342556828708156,88084872.4477514
"38",0.69,0.848017689157277,0.674705691318959,0.53,0.553775749690831,0.508942038454115,0.89,0.802100304034539,0.89320916548837,6.84615384615385,6.17000233872722,6.87083973452592,9.71693989367467,6.97088305368795,0.636993866796945,1.23393466212061,0.810415681395503,5.12331828474998,187589100,231472692.726008,152025148.298869,0.0598719693597816,124500022.10653
"39",0.69,0.737057782139163,0.583370115244761,0.53,0.555819055754691,0.520254275333136,0.89,0.764418003088795,1.0293522298662,6.84615384615385,5.88013848529842,7.91809407589384,8.00191665206346,5.55781418244486,0.563538448718361,1.2043833438071,0.830300423151786,7.51853605359793,187589100,225929187.519765,155755309.108663,0.529897820762429,137558139.841717
"40",0.69,0.733252630287316,0.64320493420586,0.53,0.609274864774197,0.509816746525466,0.89,0.849419568581507,1.00622200116981,6.84615384615385,6.5339966813962,7.74016923976775,9.06289337099721,7.49313492773228,0.284343748636002,1.09837678180296,0.910434394250875,2.20784431882203,187589100,206043511.959313,170787568.626567,0.032346698324663,155667556.525294
"41",0.69,0.698917561743874,0.689123096838593,0.53,0.539125269167125,0.524312307517976,0.89,0.74372126273578,1.02601128041279,6.84615384615385,5.72093279027523,7.89239446471374,7.06153901416727,6.910455400979,-1.19175326593335,0.674840725781603,1.48183113703133,9.43456752598286,187589100,126592764.392718,277975369.347684,-1.05833971413048,286602470.950029
"42",0.69,0.795542122554034,0.619045879235491,0.53,0.600116483680904,0.518540871758014,0.89,0.885227028406225,0.988303699106909,6.84615384615385,6.80943868004789,7.60233614697623,9.94029337907564,6.90976760515397,0.699150544078142,1.25950612462995,0.793961998631651,9.95033856481314,187589100,236269620.36382,148938616.757513,0.655802852142132,131779812.228355
"43",0.69,0.792716868149582,0.579741240348667,0.53,0.602761305663735,0.457538338936865,0.89,0.820213632900268,0.912657241369598,6.84615384615385,6.30933563769437,7.02044031822767,9.95176999848152,6.27875897180758,0.820396362820265,1.31092212229149,0.762821820606705,4.7828808799386,187589100,245914701.090751,143097058.787973,-0.129128685072915,104681451.766637
"44",0.69,0.691518595211673,0.570268983077258,0.53,0.57706805543974,0.520078098718077,0.89,0.846281389796641,0.917103196452372,6.84615384615385,6.50985684458954,7.05463997271055,7.69813049447802,5.69617530643033,0.437703226248799,1.15539475483915,0.86550505427837,5.05412395484746,187589100,216739462.204996,162359314.177531,0.344896035311107,144271302.281113
"45",0.69,0.726681236047298,0.653395473966375,0.53,0.530811437349767,0.479088722877204,0.89,0.849302224032581,0.945855131414719,6.84615384615385,6.53309403101985,7.27580870319015,7.31694594854991,6.20391602498128,0.0675266220415259,1.02253392336923,0.977962664265472,8.99943449534476,187589100,191816218.404303,183455136.023162,10.6959155506182,182012310.023376
"46",0.69,0.715786109163892,0.513029562830925,0.53,0.545738327391446,0.454564267918468,0.89,0.828113338628318,0.994044560459442,6.84615384615385,6.37010260483322,7.64649661891879,7.45717875121863,4.29121235727989,0.72672104783511,1.27101773512171,0.78677108302052,6.66501484625041,187589100,238429073.015521,147589679.369845,0.162604611196571,120288619.643689
"47",0.69,0.745358888236806,0.689560388224199,0.53,0.58590684870258,0.470703880544752,0.89,0.776322513315827,0.943320790491998,6.84615384615385,5.97171164089097,7.25631377301537,8.77558623746189,7.84018474414626,-0.0421100014128512,0.986199807420672,1.01399330285353,4.64290894009173,187589100,185000334.294217,190214091.088321,-8.85674979373006,191819809.744735
"48",0.69,0.873206026873086,0.539820338422432,0.53,0.576451877877116,0.5165004956536,0.89,0.770610116210301,0.89994399969466,6.84615384615385,5.92777012469462,6.92264615149739,10.682581296441,5.18391997668615,1.0748322666771,1.42574523365291,0.701387580611367,8.00856160931289,187589100,267454265.210238,131572664.998064,0.0112327239946013,92824241.7036236
"49",0.69,0.798851124756038,0.638381646350026,0.53,0.536049806308001,0.523868797812611,0.89,0.759152835628483,0.997263612858951,6.84615384615385,5.83963719714218,7.67125856045347,8.53276013864051,6.07157352404281,0.567930858946735,1.20613035773254,0.829097778352869,4.71360625885427,187589100,226256908.289725,155529706.053214,0.0799833582293838,130379714.157803
